Author,Submission,Video,Skipper,lyazufey1812,IgreX,oiclid,TOTAL $
https://testnet.joystream.org/#/members/maxlevush,https://testnet.joystream.org/#/forum/threads/422?replyIdx=7,https://play.joystream.org/video/304,20,-,30,20,17.5
https://testnet.joystream.org/#/members/maxlevush,https://testnet.joystream.org/#/forum/threads/422?replyIdx=9,https://play.joystream.org/video/352,10,20,10,15,13.5
https://testnet.joystream.org/#/members/pascual,https://testnet.joystream.org/#/forum/threads/422?replyIdx=11,https://play.joystream.org/video/612,5,3,3,4,3.75
https://testnet.joystream.org/#/members/pascual,https://testnet.joystream.org/#/forum/threads/422?replyIdx=11,https://play.joystream.org/video/613,5,3,3,2,3.25
https://testnet.joystream.org/#/members/pascual,https://testnet.joystream.org/#/forum/threads/422?replyIdx=11,https://play.joystream.org/video/614,5,3,7,8,5.75
https://testnet.joystream.org/#/members/pascual,https://testnet.joystream.org/#/forum/threads/422?replyIdx=11,https://play.joystream.org/video/616,5,3,3,2,3.25
https://testnet.joystream.org/#/members/4isla_channel,https://testnet.joystream.org/#/forum/threads/422?replyIdx=13,https://play.joystream.org/video/1108,-,-,-,-,not accepted
https://testnet.joystream.org/#/members/seainvestor,https://testnet.joystream.org/#/forum/threads/422?replyIdx=14,https://play.joystream.org/video/639,20,7,10,8,11.25
https://testnet.joystream.org/#/members/rustamone,https://testnet.joystream.org/#/forum/threads/422?replyIdx=15,https://play.joystream.org/video/1229,-,-,-,-,did not load
https://testnet.joystream.org/#/members/drmarkovi,https://testnet.joystream.org/#/forum/threads/422?replyIdx=16,https://play.joystream.org/video/1239,2,7,7,7,5.75
https://testnet.joystream.org/#/members/dont_skip_house,https://testnet.joystream.org/#/forum/threads/422?replyIdx=17,https://play.joystream.org/video/1392,-,-,-,-,did not load
https://testnet.joystream.org/#/members/svasilenko,https://testnet.joystream.org/#/forum/threads/422?replyIdx=18,https://play.joystream.org/video/1455,10,10,25,15,15
https://testnet.joystream.org/#/members/alex6370,https://testnet.joystream.org/#/forum/threads/422?replyIdx=19,https://play.joystream.org/video/1560,2,1,5,3,2.75
https://testnet.joystream.org/#/members/alexjoy,https://testnet.joystream.org/#/forum/threads/422?replyIdx=20,https://play.joystream.org/video/1725,1,1,1,1,1
https://testnet.joystream.org/#/members/mmsaww,https://testnet.joystream.org/#/forum/threads/422?replyIdx=21,https://play.joystream.org/video/1730,3,10,-,4,5.6
https://testnet.joystream.org/#/members/alexjoy,https://testnet.joystream.org/#/forum/threads/422?replyIdx=22,https://play.joystream.org/video/1749,2,1,-,1,1
https://testnet.joystream.org/#/members/arseniy2706,https://testnet.joystream.org/#/forum/threads/422?replyIdx=23,https://play.joystream.org/video/1729,1,2,-,1,1
https://testnet.joystream.org/#/members/pascual,https://testnet.joystream.org/#/forum/threads/422?replyIdx=24,https://play.joystream.org/video/1642,15,12,-,10,12
https://testnet.joystream.org/#/members/pascual,https://testnet.joystream.org/#/forum/threads/422?replyIdx=24,https://play.joystream.org/video/1238,10,7,-,10,9
https://testnet.joystream.org/#/members/alexjoy,https://testnet.joystream.org/#/forum/threads/422?replyIdx=25,https://play.joystream.org/video/1750,2,2,-,2,2
https://testnet.joystream.org/#/members/alexjoy,https://testnet.joystream.org/#/forum/threads/422?replyIdx=25,https://play.joystream.org/video/1785,1,2,-,2,2
